"","game_id","team_winner","team_loser","team_home_result","team_away_result","team_home_elo_pre","team_away_elo_pre","team_home_elo_pre_diff","team_away_elo_pre_diff","team_home_win_prob","team_away_win_prob"
"3527","19951019CINPIT","CIN","PIT","Loss","Win",1074,761,313,-313,0.865771328604807,0.134228671395193
"3528","19951022NOCAR","CAR","NO","Win","Loss",819,905,-86,86,0.380542645858431,0.619457354141569
"3529","19951022TENCHI","CHI","TEN","Win","Loss",1046,792,254,-254,0.815414052457507,0.184585947542493
"3530","19951022JAXCLE","JAX","CLE","Loss","Win",1028,892,136,-136,0.684682264672329,0.315317735327671
"3531","19951022KCDEN","KC","DEN","Loss","Win",1063,1206,-143,143,0.306575288893988,0.693424711106012
"3532","19951022MINGB","GB","MIN","Win","Loss",1140,1082,58,-58,0.581237753733938,0.418762246266062
"3533","19951022MIANYJ","NYJ","MIA","Win","Loss",717,1045,-328,328,0.123094624562519,0.876905375437481
"3534","19951022INDOAK","OAK","IND","Win","Loss",1091,1130,-39,39,0.445165327757078,0.554834672242922
"3535","19951022LACSEA","LAC","SEA","Loss","Win",877,1027,-150,150,0.297941545282589,0.702058454717411
"3536","19951022SFLAR","SF","LAR","Loss","Win",1007,1180,-173,173,0.270385546376357,0.729614453623643
"3537","19951022ATLTB","ATL","TB","Loss","Win",1052,1050,2,-2,0.502820924410016,0.497179075589984
"3538","19951022DETWAS","WAS","DET","Win","Loss",765,1037,-272,272,0.168108898629321,0.831891101370679
"3539","19951023BUFNE","NE","BUF","Win","Loss",967,1108,-141,141,0.30906221241111,0.69093778758889
"3540","19951029SEAARI","ARI","SEA","Win","Loss",904,847,57,-57,0.579856127511901,0.420143872488099
"3541","19951029DALATL","DAL","ATL","Loss","Win",1100,1258,-158,158,0.288212469754797,0.711787530245203
"3542","19951029CLECIN","CLE","CIN","Loss","Win",848,960,-112,112,0.346059965985483,0.653940034014517
"3543","19951029GBDET","DET","GB","Win","Loss",954,1182,-228,228,0.210092096918002,0.789907903081998
"3544","19951029TBTEN","TEN","TB","Win","Loss",774,1002,-228,228,0.210092096918002,0.789907903081998
"3545","19951029NYJIND","IND","NYJ","Win","Loss",1075,805,270,-270,0.830108512822091,0.169891487177909
"3546","19951029BUFMIA","MIA","BUF","Win","Loss",957,1039,-82,82,0.385941099510098,0.614058900489902
"3547","19951029CARNE","CAR","NE","Loss","Win",1036,881,155,-155,0.708156711172405,0.291843288827595
"3548","19951029LARPHI","PHI","LAR","Win","Loss",998,980,18,-18,0.525371404406916,0.474628595593084
"3549","19951029JAXPIT","PIT","JAX","Win","Loss",987,960,27,-27,0.538025037613665,0.461974962386335
"3550","19951029NOSF","NO","SF","Loss","Win",1207,843,364,-364,0.900941412882971,0.0990585871170294
"3551","19951029NYGWAS","NYG","WAS","Loss","Win",848,979,-131,131,0.32162665541494,0.67837334458506
"3552","19951030CHIMIN","CHI","MIN","Loss","Win",1040,1064,-24,24,0.466189202803346,0.533810797196654
"3553","19951105DETATL","ATL","DET","Win","Loss",1071,1033,38,-38,0.553437205378345,0.446562794621655
"3554","19951105PITCHI","PIT","CHI","Loss","Win",1111,1033,78,-78,0.608638268112592,0.391361731887408
"3555","19951105OAKCIN","OAK","CIN","Loss","Win",813,1146,-333,333,0.119531351948361,0.880468648051639
"3556","19951105TENCLE","TEN","CLE","Loss","Win",995,853,142,-142,0.692182352918323,0.307817647081677
"3557","19951105ARIDEN","DEN","ARI","Win","Loss",1032,946,86,-86,0.619457354141569,0.380542645858431
"3558","19951105BUFIND","BUF","IND","Loss","Win",1092,978,114,-114,0.65654459717571,0.34345540282429
"3559","19951105WASKC","KC","WAS","Win","Loss",1237,816,421,-421,0.931685158542036,0.0683148414579636
"3560","19951105GBMIN","MIN","GB","Win","Loss",993,1103,-110,110,0.34867183211248,0.65132816788752
